URL,FINAL URL,FINAL URL LENGTH,CANONICAL,CANONICAL LENGTH,TITLE,TITLE LENGTH,TITLE STATUS,H1-1,H1-1 LENGTH,H1-1 STATUS,META DESCRIPTION,META DESCRIPTION LENGTH,META DESCRIPTION STATUS,META KEYWORDS,META KEYWORDS LENGTH,H2-1,H2-1 LENGTH,H2-1 STATUS,NUMBER OF IMAGES,NUMBER OF WITH ALT-TAG,NUMBER OF WITHOUT ALT-TAG,ALT-TAG AVERAGE LENGTH,ALT-TAG MAXIMUM LENGTH,ALT-TAG MINIMUM LENGTH,NUMBER OF ALT-TAGS THAT ARE DUPLICATED,CONTENT TYPE,DATE,HTTP/HTTPS,REDIRECT,REDIRECT TYPE,RESPONSE TIME (MS),STATUS,STATUS CODE,DEPTH,FOLDER LEVEL 1,FOLDER LEVEL 2,FOLDER LEVEL 3
https://www.asiainspection.com/asia-inspection-news/2016-q3-Apparel-Supply-Chains-Struggle-with-Responsible-Sourcing,https://www.asiainspection.com/asia-inspection-news/2016-q3-Apparel-Supply-Chains-Struggle-with-Responsible-Sourcing,116.0,None,,"2016 Q3 – Manufacturing & Audit Industry News: Asia Pacific Unfazed by Global Trade Uncertainty, Apparel Supply Chains Struggle with Responsible Sourcing",153.0,TOO LONG,AsiaInspection 2016 Q3 Barometer,32.0,,The 2016 Q3 Manufacturing and Audit Industry News release from AsiaInspection reveals supply chains struggle with responsible sourcing Find out more about the latest industry trends here.,187.0,,"manufacturing industry news, audit industry news, supply chain industry news",76.0,Asia Pacific Looks Strong Against Conservative Global Trade Forecasts,69.0,,8.0,6.0,2.0,30.833333333333332,83.0,5.0,3.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:11:33 GMT",HTTPS,False,NONE,991.903,OK,200.0,2.0,asia-inspection-news,,
http://www.asiainspection.com/asia-inspection-news/2016-q3-Apparel-Supply-Chains-Struggle-with-Responsible-Sourcing,https://www.asiainspection.com/asia-inspection-news/2016-q3-Apparel-Supply-Chains-Struggle-with-Responsible-Sourcing,116.0,None,,"2016 Q3 – Manufacturing & Audit Industry News: Asia Pacific Unfazed by Global Trade Uncertainty, Apparel Supply Chains Struggle with Responsible Sourcing",153.0,TOO LONG,AsiaInspection 2016 Q3 Barometer,32.0,,The 2016 Q3 Manufacturing and Audit Industry News release from AsiaInspection reveals supply chains struggle with responsible sourcing Find out more about the latest industry trends here.,187.0,,"manufacturing industry news, audit industry news, supply chain industry news",76.0,Asia Pacific Looks Strong Against Conservative Global Trade Forecasts,69.0,,8.0,6.0,2.0,30.833333333333332,83.0,5.0,3.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:14:15 GMT",HTTPS,False,NONE,999.068,OK,200.0,2.0,asia-inspection-news,,
https://www.asiainspection.com/regulatory-updates/September-2016/california-bpa-cans-and-bottles,https://www.asiainspection.com/regulatory-updates/September-2016/california-bpa-cans-and-bottles,96.0,None,,US State California OEHHA Proposes Amendment to CCR Regarding BPA in Canned and Bottled Foods and Beverages through Regular Rulemaking Procedure,144.0,TOO LONG,September-2016 Regulatory Update,32.0,,,0.0,,,0.0,NORTH AMERICA NEWS,18.0,,11.0,4.0,7.0,5.0,5.0,5.0,3.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:13:20 GMT",HTTPS,False,NONE,26.906,OK,200.0,3.0,regulatory-updates,September-2016,
http://www.asiainspection.com/regulatory-updates/September-2016/california-bpa-cans-and-bottles,https://www.asiainspection.com/regulatory-updates/September-2016/california-bpa-cans-and-bottles,96.0,None,,US State California OEHHA Proposes Amendment to CCR Regarding BPA in Canned and Bottled Foods and Beverages through Regular Rulemaking Procedure,144.0,TOO LONG,September-2016 Regulatory Update,32.0,,,0.0,,,0.0,NORTH AMERICA NEWS,18.0,,11.0,4.0,7.0,5.0,5.0,5.0,3.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:18:20 GMT",HTTPS,False,NONE,996.38,OK,200.0,3.0,regulatory-updates,September-2016,
http://www.asiainspection.com/regulatory-updates/May-2016/saudi-arabia-labelling-requirements,https://www.asiainspection.com/regulatory-updates/May-2016/saudi-arabia-labelling-requirements,94.0,None,,"Saudi Arabia Standard SASO 2870/2015 Energy Efficiency, Functionality & Labelling Requirements for Lighting Products, Part 1 Enters into Force",142.0,TOO LONG,May-2016 Regulatory Update,26.0,,"On June 23, 2015, Saudi Standards, Metrology and Quality Organization (SASO) issued standard SASO 2870/2015 Energy Efficiency, Functionality and Labelling Requirements for Lighting Products, Part 1. Read the full update here.",225.0,,,0.0,NORTH AMERICA NEWS,18.0,,183.0,4.0,179.0,5.0,5.0,5.0,3.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:18:30 GMT",HTTPS,False,NONE,986.524,OK,200.0,3.0,regulatory-updates,May-2016,
https://www.asiainspection.com/regulatory-updates/May-2016/saudi-arabia-labelling-requirements,https://www.asiainspection.com/regulatory-updates/May-2016/saudi-arabia-labelling-requirements,94.0,None,,"Saudi Arabia Standard SASO 2870/2015 Energy Efficiency, Functionality & Labelling Requirements for Lighting Products, Part 1 Enters into Force",142.0,TOO LONG,May-2016 Regulatory Update,26.0,,"On June 23, 2015, Saudi Standards, Metrology and Quality Organization (SASO) issued standard SASO 2870/2015 Energy Efficiency, Functionality and Labelling Requirements for Lighting Products, Part 1. Read the full update here.",225.0,,,0.0,NORTH AMERICA NEWS,18.0,,183.0,4.0,179.0,5.0,5.0,5.0,3.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:14:13 GMT",HTTPS,False,NONE,193.09,OK,200.0,3.0,regulatory-updates,May-2016,
http://www.asiainspection.com/regulatory-updates/April-2016/columbia-flame-retardants,https://www.asiainspection.com/regulatory-updates/April-2016/columbia-flame-retardants,86.0,None,,US District of Columbia Approves to Amend Human & Environmental Health Protection Act of 2010 Concerning Certain Flame Retardants Prohibition,141.0,TOO LONG,April-2016 Regulatory Update,28.0,,"On March 17, 2016, bill B21-0143 was signed and enacted with act number A21-0336, ""Carcinogenic Flame Retardant Prohibition Amendment Act of 2016"". Learn more about this act here.",179.0,,,0.0,NORTH AMERICA NEWS,18.0,,6.0,4.0,2.0,5.0,5.0,5.0,3.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:16:46 GMT",HTTPS,False,NONE,58.276,OK,200.0,3.0,regulatory-updates,April-2016,
https://www.asiainspection.com/regulatory-updates/January-2017/california-amendment-bottled-foods-beverages,https://www.asiainspection.com/regulatory-updates/January-2017/california-amendment-bottled-foods-beverages,107.0,None,,US State of California Approves Amendment to CCR Regarding BPA in Canned and Bottled Foods and Beverages through Regular Rulemaking Procedure,141.0,TOO LONG,January-2017 Regulatory Update,30.0,,,0.0,,,0.0,NORTH AMERICA NEWS,18.0,,10.0,4.0,6.0,5.0,5.0,5.0,3.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:14:10 GMT",HTTPS,False,NONE,231.0,OK,200.0,3.0,regulatory-updates,January-2017,
https://www.asiainspection.com/regulatory-updates/April-2016/columbia-flame-retardants,https://www.asiainspection.com/regulatory-updates/April-2016/columbia-flame-retardants,86.0,None,,US District of Columbia Approves to Amend Human & Environmental Health Protection Act of 2010 Concerning Certain Flame Retardants Prohibition,141.0,TOO LONG,April-2016 Regulatory Update,28.0,,"On March 17, 2016, bill B21-0143 was signed and enacted with act number A21-0336, ""Carcinogenic Flame Retardant Prohibition Amendment Act of 2016"". Learn more about this act here.",179.0,,,0.0,NORTH AMERICA NEWS,18.0,,6.0,4.0,2.0,5.0,5.0,5.0,3.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:14:19 GMT",HTTPS,False,NONE,188.517,OK,200.0,3.0,regulatory-updates,April-2016,
http://www.asiainspection.com/regulatory-updates/January-2017/california-amendment-bottled-foods-beverages,https://www.asiainspection.com/regulatory-updates/January-2017/california-amendment-bottled-foods-beverages,107.0,None,,US State of California Approves Amendment to CCR Regarding BPA in Canned and Bottled Foods and Beverages through Regular Rulemaking Procedure,141.0,TOO LONG,January-2017 Regulatory Update,30.0,,,0.0,,,0.0,NORTH AMERICA NEWS,18.0,,10.0,4.0,6.0,5.0,5.0,5.0,3.0,text/html; charset=UTF-8,"Fri, 10 Nov 2017 05:15:42 GMT",HTTPS,False,NONE,287.43,OK,200.0,3.0,regulatory-updates,January-2017,
